dataset_index,speaker,age,gender,expected_text,accuracy,wpm,duration,words_expected,words_spoken,words_correct,omissions,substitutions,insertions,repetitions,omission_rate,substitution_rate,insertion_rate,repetition_rate,total_error_rate,word_count_difference,spoken_expected_ratio,language_probability,mean_avg_logprob,mean_error_confidence,average_word_duration,average_pause_duration,max_pause_duration,long_pause_count,mean_word_confidence,low_confidence_word_rate,rms_mean,rms_std,spectral_centroid_mean,zero_crossing_rate_mean,expert_accuracy,expert_completeness,expert_fluency,expert_prosodic,expert_total
0,0001,6,m,WE CALL IT BEAR,1.0,131.14754098360655,1.83,4,4,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,-0.5273437723517418,0.0,0.405,0.0,0.0,0,0.715576171875,0.25,0.068553626537323,0.07866251468658447,2142.0201540192515,0.14721981095679013,8,10.0,9,9,8
1,0001,6,m,ZERO THREE FIVE ONE,0.0,21.8978102189781,2.74,4,1,0,3,1,0,0,0.75,0.25,0.0,0.0,1.0,-3,0.25,1.0,-0.4433593650658925,0.6418764976459498,2.4000000000000004,0.0,0.0,0,0.8875325520833334,0.0,0.06331270188093185,0.06351931393146515,2162.1373171572386,0.17074019820601852,8,10.0,9,9,8
2,0001,6,m,THREE TWO TWO SEVEN,0.0,93.38521400778211,2.57,4,4,0,0,4,0,0,0.0,1.0,0.0,0.0,1.0,0,1.0,1.0,-0.43320312201976774,0.6484287682663676,0.455,0.10666666666666662,0.17999999999999994,0,0.85595703125,0.0,0.06067698821425438,0.0581669807434082,2447.45859352794,0.20768694196428572,9,10.0,10,10,9
3,0001,6,m,ELEPHANTS TAI GOOSE,0.6666666666666666,69.4980694980695,2.59,3,3,2,0,1,0,0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0,1.0,1.0,-0.74853515625,0.47305900297538567,0.7399999999999999,0.0,0.0,0,0.50244140625,0.6666666666666666,0.050431590527296066,0.04978417232632637,2817.2051757157906,0.2609675480769231,10,10.0,9,9,9
4,0001,6,m,TOM GIVES UP BOXING,0.5,113.74407582938389,2.11,4,4,2,0,2,0,0,0.0,0.5,0.0,0.0,0.5,0,1.0,1.0,-0.5707465277777778,0.5651034157960176,0.38999999999999996,0.04,0.12,0,0.726806640625,0.0,0.06554538011550903,0.07060804218053818,2382.531396295232,0.18584498355263157,9,10.0,9,10,9
5,0001,6,m,HE HATES SHOOTING,1.0,101.12359550561797,1.78,3,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,-0.3878348299435207,0.0,0.49333333333333335,0.0,0.0,0,0.9391276041666666,0.0,0.06109129264950752,0.06306992471218109,2881.9040482865344,0.24118079668209877,9,10.0,9,9,9
6,0001,6,m,MANDY HAS A BIG ARM,1.0,128.75536480686694,2.33,5,5,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,-0.5,0.0,0.42400000000000004,0.0,0.0,0,0.9228515625,0.0,0.07860326021909714,0.06875656545162201,1906.9079433088623,0.12061050257731959,10,10.0,9,9,9
7,0001,6,m,LOOK AT ANN'S PANTS,1.0,107.14285714285714,2.24,4,4,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,-0.7022569444444444,0.0,0.47500000000000003,0.0,0.0,0,0.74609375,0.25,0.0736449658870697,0.07189033925533295,2573.9355759178156,0.2234438004032258,10,10.0,9,9,9
8,0001,6,m,WHAT ABOUT THE BUS,1.0,160.0,1.5,4,4,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,-0.4497070237994194,0.0,0.29,0.0,0.0,0,0.822509765625,0.0,0.07169504463672638,0.07271315902471542,2396.0597295551183,0.21395464085820895,9,10.0,9,8,8
9,0001,6,m,THEN HE WENT TO THEME PARK,0.3333333333333333,97.5609756097561,2.46,6,4,2,2,2,0,0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,-2,0.6666666666666666,1.0,-0.8092447916666666,0.44519415363373627,0.5700000000000001,0.0,0.0,0,0.7073465983072916,0.25,0.04870106279850006,0.0414547473192215,2337.8603062099846,0.1629145196143617,6,10.0,9,8,5
